"seqname","accession","tax_id","species_name","is_type"
"123f3-34","","109790","Lactobacillus jensenii",0
"136b-31","","147802","Lactobacillus iners",0
"4Vag-18","","1633","Lactobacillus vaginalis",0
"S000008742","AF519171","1596","Lactobacillus gasseri",1
"S000014487","D86517","1582","Lactobacillus casei",0
"S000389918","AF243176","109790","Lactobacillus jensenii",1
"S000389919","AF243177","1633","Lactobacillus vaginalis",1
"S000390171","AF257097","47770","Lactobacillus crispatus",1
"S000395052","AF469172","1582","Lactobacillus casei",1
"S000414529","L23507","1598","Lactobacillus reuteri",1
"S000431102","AF522394","1613","Lactobacillus fermentum",0
"S000444202","AY773947","1579","Lactobacillus acidophilus",1
"S000473522","AY253659","227943","Lactobacillus antri",1
"S000473523","AY253660","227945","Lactobacillus ultunensis",1
"S000483388","AB205055","1581","Lactobacillus buchneri",1
"S000495656","AB070606","1580","Lactobacillus brevis",0
"S000608871","AM113776","181675","Lactobacillus coleohominis",1
"S000608874","AM113779","1587","Lactobacillus helveticus",1
"S000824731","EF412979","1580","Lactobacillus brevis",0
"S000870727","AB326354","1623","Lactobacillus ruminis",1
"S000927167","EU099039","1624","Lactobacillus salivarius",0
"S000995983","EU381129","33959","Lactobacillus johnsonii",0
"S001016013","EU483105","1579","Lactobacillus acidophilus",0
"S001093459","AB368900","1597","Lactobacillus paracasei",0
"S001153625","EU789397","1588","Lactobacillus hilgardii",0
"S001168699","AF089108","1624","Lactobacillus salivarius",1
"S001198995","FJ263451","1590","Lactobacillus plantarum",0
"S001264834","FJ542293","33959","Lactobacillus johnsonii",0
"S001264844","FJ542303","1597","Lactobacillus paracasei",0
"S001330257","FJ749822","1613","Lactobacillus fermentum",0
"S001418075","FJ915670","1587","Lactobacillus helveticus",0
"S001792807","AB425917","1598","Lactobacillus reuteri",0
"S001792815","AB425925","181675","Lactobacillus coleohominis",0
"S001792816","AB425926","1623","Lactobacillus ruminis",0
"S001793756","FJ557001","47770","Lactobacillus crispatus",0
"S001910616","Y16329","147802","Lactobacillus iners",1
"S002152884","HM058334","1581","Lactobacillus buchneri",0
"S002165654","GU454856","1596","Lactobacillus gasseri",0
"S002166047","GU812309","47715","Lactobacillus rhamnosus",0
"S002227370","HM218053","1590","Lactobacillus plantarum",0
"S002227570","HM218253","1588","Lactobacillus hilgardii",0
"S002227682","HM218365","47715","Lactobacillus rhamnosus",0
"S002355760","FR683091","227945","Lactobacillus ultunensis",0
"S002355764","FR683095","83683","Lactobacillus amylolyticus",0
"S000004313","X80725","562","Escherichia coli",1
"S000727873","AB272358","562","Escherichia coli",0
