"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","phylum","class","order","family","genus","species_group","species"
"1","1","root","root","1","","","","","","","","",""
"131567","1","cellular_root","cellular organisms","1","131567","","","","","","","",""
"2","131567","domain","Bacteria","1","131567","2","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","1239","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","1224","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","1239","91061","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","1224","1236","","","","",""
"91347","1236","order","Enterobacteriales","1","131567","2","1224","1236","91347","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","1239","91061","186826","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","1224","1236","91347","543","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","1239","91061","186826","33958","","",""
"561","543","genus","Escherichia","1","131567","2","1224","1236","91347","543","561","",""
"1578","33958","genus","Lactobacillus","1","131567","2","1239","91061","186826","33958","1578","",""
"655183","1578","species_group","Lactobacillus casei group","1","131567","2","1239","91061","186826","33958","1578","655183",""
"1578_1","1578","species_group","Lactobacillus helveticus/crispatus","1","131567","2","1239","91061","186826","33958","1578","1578_1",""
"562","561","species","Escherichia coli","1","131567","2","1224","1236","91347","543","561","","562"
"1579","1578","species","Lactobacillus acidophilus","1","131567","2","1239","91061","186826","33958","1578","","1579"
"83683","1578","species","Lactobacillus amylolyticus","1","131567","2","1239","91061","186826","33958","1578","","83683"
"227943","1578","species","Lactobacillus antri","1","131567","2","1239","91061","186826","33958","1578","","227943"
"1580","1578","species","Lactobacillus brevis","1","131567","2","1239","91061","186826","33958","1578","","1580"
"1581","1578","species","Lactobacillus buchneri","1","131567","2","1239","91061","186826","33958","1578","","1581"
"1582","655183","species","Lactobacillus casei","1","131567","2","1239","91061","186826","33958","1578","655183","1582"
"181675","1578","species","Lactobacillus coleohominis","1","131567","2","1239","91061","186826","33958","1578","","181675"
"47770","1578_1","species","Lactobacillus crispatus","1","131567","2","1239","91061","186826","33958","1578","1578_1","47770"
"1613","1578","species","Lactobacillus fermentum","1","131567","2","1239","91061","186826","33958","1578","","1613"
"1596","1578","species","Lactobacillus gasseri","1","131567","2","1239","91061","186826","33958","1578","","1596"
"1587","1578_1","species","Lactobacillus helveticus","1","131567","2","1239","91061","186826","33958","1578","1578_1","1587"
"1588","1578","species","Lactobacillus hilgardii","1","131567","2","1239","91061","186826","33958","1578","","1588"
"147802","1578","species","Lactobacillus iners","1","131567","2","1239","91061","186826","33958","1578","","147802"
"109790","1578","species","Lactobacillus jensenii","1","131567","2","1239","91061","186826","33958","1578","","109790"
"33959","1578","species","Lactobacillus johnsonii","1","131567","2","1239","91061","186826","33958","1578","","33959"
"1597","655183","species","Lactobacillus paracasei","1","131567","2","1239","91061","186826","33958","1578","655183","1597"
"1590","1578","species","Lactobacillus plantarum","1","131567","2","1239","91061","186826","33958","1578","","1590"
"1598","1578","species","Lactobacillus reuteri","1","131567","2","1239","91061","186826","33958","1578","","1598"
"47715","1578","species","Lactobacillus rhamnosus","1","131567","2","1239","91061","186826","33958","1578","","47715"
"1623","1578","species","Lactobacillus ruminis","1","131567","2","1239","91061","186826","33958","1578","","1623"
"1624","1578","species","Lactobacillus salivarius","1","131567","2","1239","91061","186826","33958","1578","","1624"
"227945","1578","species","Lactobacillus ultunensis","1","131567","2","1239","91061","186826","33958","1578","","227945"
"1633","1578","species","Lactobacillus vaginalis","1","131567","2","1239","91061","186826","33958","1578","","1633"
